REGION,TECHNOLOGY,EMISSION,MODE_OF_OPERATION,YEAR,VALUE
REGION1,DKWS00X00,DKPM25,1,2060,0.000743386
REGION1,EEBFHPFH1,EEPM25,1,2015,0.0217
REGION1,EEBFHPFH1,EEPM25,1,2016,0.0217
REGION1,EEBFHPFH1,EEPM25,1,2017,0.0217
REGION1,EEBFHPFH1,EEPM25,1,2018,0.0217
REGION1,EEBFHPFH1,EEPM25,1,2019,0.0217
REGION1,EEBFHPFH1,EEPM25,1,2020,0.0217
REGION1,EEBFHPFH1,EEPM25,1,2021,0.0217
REGION1,EEBFHPFH1,EEPM25,1,2022,0.0217
REGION1,EEBFHPFH1,EEPM25,1,2023,0.0217
REGION1,EEBFHPFH1,EEPM25,1,2024,0.0217
REGION1,EEBFHPFH1,EEPM25,1,2025,0.0217
REGION1,EEBFHPFH1,EEPM25,1,2026,0.0217
REGION1,EEBFHPFH1,EEPM25,1,2027,0.0217
REGION1,EEBFHPFH1,EEPM25,1,2028,0.0217
REGION1,EEBFHPFH1,EEPM25,1,2029,0.0217
REGION1,EEBFHPFH1,EEPM25,1,2030,0.0217
REGION1,EEBFHPFH1,EEPM25,1,2031,0.0217
REGION1,EEBFHPFH1,EEPM25,1,2032,0.0217
REGION1,EEBFHPFH1,EEPM25,1,2033,0.0217
REGION1,EEBFHPFH1,EEPM25,1,2034,0.0217
REGION1,EEBFHPFH1,EEPM25,1,2035,0.0217
REGION1,EEBFHPFH1,EEPM25,1,2036,0.0217
REGION1,EEBFHPFH1,EEPM25,1,2037,0.0217
REGION1,EEBFHPFH1,EEPM25,1,2038,0.0217
REGION1,EEBFHPFH1,EEPM25,1,2039,0.0217
REGION1,EEBFHPFH1,EEPM25,1,2040,0.0217
REGION1,EEBFHPFH1,EEPM25,1,2041,0.0217
REGION1,EEBFHPFH1,EEPM25,1,2042,0.0217
REGION1,EEBFHPFH1,EEPM25,1,2043,0.0217
REGION1,EEBFHPFH1,EEPM25,1,2044,0.0217
REGION1,EEBFHPFH1,EEPM25,1,2045,0.0217
REGION1,EEBFHPFH1,EEPM25,1,2046,0.0217
REGION1,EEBFHPFH1,EEPM25,1,2047,0.0217
REGION1,EEBFHPFH1,EEPM25,1,2048,0.0217
REGION1,EEBFHPFH1,EEPM25,1,2049,0.0217
REGION1,EEBFHPFH1,EEPM25,1,2050,0.0217
REGION1,EEBFHPFH1,EEPM25,1,2051,0.0217
REGION1,EEBFHPFH1,EEPM25,1,2052,0.0217
REGION1,EEBFHPFH1,EEPM25,1,2053,0.0217
REGION1,EEBFHPFH1,EEPM25,1,2054,0.0217
REGION1,EEBFHPFH1,EEPM25,1,2055,0.0217
REGION1,EEBFHPFH1,EEPM25,1,2056,0.0217
REGION1,EEBFHPFH1,EEPM25,1,2057,0.0217
REGION1,EEBFHPFH1,EEPM25,1,2058,0.0217
REGION1,EEBFHPFH1,EEPM25,1,2059,0.0217
REGION1,EEBFHPFH1,EEPM25,1,2060,0.0217
REGION1,EEBMCCPH1,EEPM25,1,2015,0.0002
REGION1,EEBMCCPH1,EEPM25,1,2016,0.0002
REGION1,EEBMCCPH1,EEPM25,1,2017,0.0002
REGION1,EEBMCCPH1,EEPM25,1,2018,0.0002
REGION1,EEBMCCPH1,EEPM25,1,2019,0.0002
REGION1,EEBMCCPH1,EEPM25,1,2020,0.0002
REGION1,EEBMCCPH1,EEPM25,1,2021,0.0002
REGION1,EEBMCCPH1,EEPM25,1,2022,0.0002
REGION1,EEBMCCPH1,EEPM25,1,2023,0.0002
REGION1,EEBMCCPH1,EEPM25,1,2024,0.0002
REGION1,EEBMCCPH1,EEPM25,1,2025,0.0002
REGION1,EEBMCCPH1,EEPM25,1,2026,0.0002
REGION1,EEBMCCPH1,EEPM25,1,2027,0.0002
REGION1,EEBMCCPH1,EEPM25,1,2028,0.0002
REGION1,EEBMCCPH1,EEPM25,1,2029,0.0002
REGION1,EEBMCCPH1,EEPM25,1,2030,0.0002
REGION1,EEBMCCPH1,EEPM25,1,2031,0.0002
REGION1,EEBMCCPH1,EEPM25,1,2032,0.0002
REGION1,EEBMCCPH1,EEPM25,1,2033,0.0002
REGION1,EEBMCCPH1,EEPM25,1,2034,0.0002
REGION1,EEBMCCPH1,EEPM25,1,2035,0.0002
REGION1,EEBMCCPH1,EEPM25,1,2036,0.0002
REGION1,EEBMCCPH1,EEPM25,1,2037,0.0002
REGION1,EEBMCCPH1,EEPM25,1,2038,0.0002
REGION1,EEBMCCPH1,EEPM25,1,2039,0.0002
REGION1,EEBMCCPH1,EEPM25,1,2040,0.0002
REGION1,EEBMCCPH1,EEPM25,1,2041,0.0002
REGION1,EEBMCCPH1,EEPM25,1,2042,0.0002
REGION1,EEBMCCPH1,EEPM25,1,2043,0.0002
REGION1,EEBMCCPH1,EEPM25,1,2044,0.0002
REGION1,EEBMCCPH1,EEPM25,1,2045,0.0002
REGION1,EEBMCCPH1,EEPM25,1,2046,0.0002
REGION1,EEBMCCPH1,EEPM25,1,2047,0.0002
REGION1,EEBMCCPH1,EEPM25,1,2048,0.0002
REGION1,EEBMCCPH1,EEPM25,1,2049,0.0002
REGION1,EEBMCCPH1,EEPM25,1,2050,0.0002
REGION1,EEBMCCPH1,EEPM25,1,2051,0.0002
REGION1,EEBMCCPH1,EEPM25,1,2052,0.0002
REGION1,EEBMCCPH1,EEPM25,1,2053,0.0002
REGION1,EEBMCCPH1,EEPM25,1,2054,0.0002
REGION1,EEBMCCPH1,EEPM25,1,2055,0.0002
REGION1,EEBMCCPH1,EEPM25,1,2056,0.0002
REGION1,EEBMCCPH1,EEPM25,1,2057,0.0002
REGION1,EEBMCCPH1,EEPM25,1,2058,0.0002
REGION1,EEBMCCPH1,EEPM25,1,2059,0.0002
REGION1,EEBMCCPH1,EEPM25,1,2060,0.0002
REGION1,EEBMCHPH3,EEPM25,1,2015,0.133
REGION1,EEBMCHPH3,EEPM25,1,2016,0.133
REGION1,EEBMCHPH3,EEPM25,1,2017,0.133
REGION1,EEBMCHPH3,EEPM25,1,2018,0.133
REGION1,EEBMCHPH3,EEPM25,1,2019,0.133
REGION1,EEBMCHPH3,EEPM25,1,2020,0.133
REGION1,EEBMCHPH3,EEPM25,1,2021,0.133
REGION1,EEBMCHPH3,EEPM25,1,2022,0.133
REGION1,EEBMCHPH3,EEPM25,1,2023,0.133
REGION1,EEBMCHPH3,EEPM25,1,2024,0.133
REGION1,EEBMCHPH3,EEPM25,1,2025,0.133
REGION1,EEBMCHPH3,EEPM25,1,2026,0.133
REGION1,EEBMCHPH3,EEPM25,1,2027,0.133
REGION1,EEBMCHPH3,EEPM25,1,2028,0.133
REGION1,EEBMCHPH3,EEPM25,1,2029,0.133
REGION1,EEBMCHPH3,EEPM25,1,2030,0.133
REGION1,EEBMCHPH3,EEPM25,1,2031,0.133
REGION1,EEBMCHPH3,EEPM25,1,2032,0.133
REGION1,EEBMCHPH3,EEPM25,1,2033,0.133
REGION1,EEBMCHPH3,EEPM25,1,2034,0.133
REGION1,EEBMCHPH3,EEPM25,1,2035,0.133
REGION1,EEBMCHPH3,EEPM25,1,2036,0.133
REGION1,EEBMCHPH3,EEPM25,1,2037,0.133
REGION1,EEBMCHPH3,EEPM25,1,2038,0.133
REGION1,EEBMCHPH3,EEPM25,1,2039,0.133
REGION1,EEBMCHPH3,EEPM25,1,2040,0.133
REGION1,EEBMCHPH3,EEPM25,1,2041,0.133
REGION1,EEBMCHPH3,EEPM25,1,2042,0.133
REGION1,EEBMCHPH3,EEPM25,1,2043,0.133
REGION1,EEBMCHPH3,EEPM25,1,2044,0.133
REGION1,EEBMCHPH3,EEPM25,1,2045,0.133
REGION1,EEBMCHPH3,EEPM25,1,2046,0.133
REGION1,EEBMCHPH3,EEPM25,1,2047,0.133
REGION1,EEBMCHPH3,EEPM25,1,2048,0.133
REGION1,EEBMCHPH3,EEPM25,1,2049,0.133
REGION1,EEBMCHPH3,EEPM25,1,2050,0.133
REGION1,EEBMCHPH3,EEPM25,1,2051,0.133
REGION1,EEBMCHPH3,EEPM25,1,2052,0.133
REGION1,EEBMCHPH3,EEPM25,1,2053,0.133
REGION1,EEBMCHPH3,EEPM25,1,2054,0.133
REGION1,EEBMCHPH3,EEPM25,1,2055,0.133
REGION1,EEBMCHPH3,EEPM25,1,2056,0.133
REGION1,EEBMCHPH3,EEPM25,1,2057,0.133
REGION1,EEBMCHPH3,EEPM25,1,2058,0.133
REGION1,EEBMCHPH3,EEPM25,1,2059,0.133
REGION1,EEBMCHPH3,EEPM25,1,2060,0.133
REGION1,EEBMCSPN2,CO2,1,2015,-278.4781206
REGION1,EEBMCSPN2,CO2,1,2016,-274.0810976
REGION1,EEBMCSPN2,CO2,1,2017,-269.6840746
REGION1,EEBMCSPN2,CO2,1,2018,-265.2870517
REGION1,EEBMCSPN2,CO2,1,2019,-260.8900287
REGION1,EEBMCSPN2,CO2,1,2020,-256.4930058
REGION1,EEBMCSPN2,CO2,1,2021,-251.9666586
REGION1,EEBMCSPN2,CO2,1,2022,-247.4403115
REGION1,EEBMCSPN2,CO2,1,2023,-242.9139643
REGION1,EEBMCSPN2,CO2,1,2024,-238.3876171
REGION1,EEBMCSPN2,CO2,1,2025,-233.86127
REGION1,EEBMCSPN2,CO2,1,2026,-229.3349228
REGION1,EEBMCSPN2,CO2,1,2027,-224.8085757
REGION1,EEBMCSPN2,CO2,1,2028,-220.2822285
REGION1,EEBMCSPN2,CO2,1,2029,-215.7558813
REGION1,EEBMCSPN2,CO2,1,2030,-211.2295342
REGION1,EEBMCSPN2,CO2,1,2031,-210.6260212
REGION1,EEBMCSPN2,CO2,1,2032,-210.0225083
REGION1,EEBMCSPN2,CO2,1,2033,-209.4189953
REGION1,EEBMCSPN2,CO2,1,2034,-208.8154823
REGION1,EEBMCSPN2,CO2,1,2035,-208.2119694
REGION1,EEBMCSPN2,CO2,1,2036,-207.6084564
REGION1,EEBMCSPN2,CO2,1,2037,-207.0049435
REGION1,EEBMCSPN2,CO2,1,2038,-206.4014305
REGION1,EEBMCSPN2,CO2,1,2039,-205.7979176
REGION1,EEBMCSPN2,CO2,1,2040,-205.1944046
REGION1,EEBMCSPN2,CO2,1,2041,-205.1944046
REGION1,EEBMCSPN2,CO2,1,2042,-205.1944046
REGION1,EEBMCSPN2,CO2,1,2043,-205.1944046
REGION1,EEBMCSPN2,CO2,1,2044,-205.1944046
REGION1,EEBMCSPN2,CO2,1,2045,-205.1944046
REGION1,EEBMCSPN2,CO2,1,2046,-205.1944046
REGION1,EEBMCSPN2,CO2,1,2047,-205.1944046
REGION1,EEBMCSPN2,CO2,1,2048,-205.1944046
REGION1,EEBMCSPN2,CO2,1,2049,-205.1944046
REGION1,EEBMCSPN2,CO2,1,2050,-205.1944046
REGION1,EEBMCSPN2,CO2,1,2051,-205.1944046
REGION1,EEBMCSPN2,CO2,1,2052,-205.1944046
REGION1,EEBMCSPN2,CO2,1,2053,-205.1944046
REGION1,EEBMCSPN2,CO2,1,2054,-205.1944046
REGION1,EEBMCSPN2,CO2,1,2055,-205.1944046
REGION1,EEBMCSPN2,CO2,1,2056,-205.1944046
REGION1,EEBMCSPN2,CO2,1,2057,-205.1944046
REGION1,EEBMCSPN2,CO2,1,2058,-205.1944046
REGION1,EEBMCSPN2,CO2,1,2059,-205.1944046
REGION1,EEBMCSPN2,CO2,1,2060,-205.1944046
REGION1,EEBMSTPH3,EEPM25,1,2015,0.133
REGION1,EEBMSTPH3,EEPM25,1,2016,0.133
REGION1,EEBMSTPH3,EEPM25,1,2017,0.133
REGION1,EEBMSTPH3,EEPM25,1,2018,0.133
REGION1,EEBMSTPH3,EEPM25,1,2019,0.133
REGION1,EEBMSTPH3,EEPM25,1,2020,0.133
REGION1,EEBMSTPH3,EEPM25,1,2021,0.133
REGION1,EEBMSTPH3,EEPM25,1,2022,0.133
REGION1,EEBMSTPH3,EEPM25,1,2023,0.133
REGION1,EEBMSTPH3,EEPM25,1,2024,0.133
REGION1,EEBMSTPH3,EEPM25,1,2025,0.133
REGION1,EEBMSTPH3,EEPM25,1,2026,0.133
REGION1,EEBMSTPH3,EEPM25,1,2027,0.133
REGION1,EEBMSTPH3,EEPM25,1,2028,0.133
REGION1,EEBMSTPH3,EEPM25,1,2029,0.133
REGION1,EEBMSTPH3,EEPM25,1,2030,0.133
REGION1,EEBMSTPH3,EEPM25,1,2031,0.133
REGION1,EEBMSTPH3,EEPM25,1,2032,0.133
REGION1,EEBMSTPH3,EEPM25,1,2033,0.133
REGION1,EEBMSTPH3,EEPM25,1,2034,0.133
REGION1,EEBMSTPH3,EEPM25,1,2035,0.133
REGION1,EEBMSTPH3,EEPM25,1,2036,0.133
REGION1,EEBMSTPH3,EEPM25,1,2037,0.133
REGION1,EEBMSTPH3,EEPM25,1,2038,0.133
REGION1,EEBMSTPH3,EEPM25,1,2039,0.133
REGION1,EEBMSTPH3,EEPM25,1,2040,0.133
REGION1,EEBMSTPH3,EEPM25,1,2041,0.133
REGION1,EEBMSTPH3,EEPM25,1,2042,0.133
REGION1,EEBMSTPH3,EEPM25,1,2043,0.133
REGION1,EEBMSTPH3,EEPM25,1,2044,0.133
REGION1,EEBMSTPH3,EEPM25,1,2045,0.133
REGION1,EEBMSTPH3,EEPM25,1,2046,0.133
REGION1,EEBMSTPH3,EEPM25,1,2047,0.133
REGION1,EEBMSTPH3,EEPM25,1,2048,0.133
REGION1,EEBMSTPH3,EEPM25,1,2049,0.133
REGION1,EEBMSTPH3,EEPM25,1,2050,0.133
REGION1,EEBMSTPH3,EEPM25,1,2051,0.133
REGION1,EEBMSTPH3,EEPM25,1,2052,0.133
REGION1,EEBMSTPH3,EEPM25,1,2053,0.133
REGION1,EEBMSTPH3,EEPM25,1,2054,0.133
REGION1,EEBMSTPH3,EEPM25,1,2055,0.133
REGION1,EEBMSTPH3,EEPM25,1,2056,0.133
REGION1,EEBMSTPH3,EEPM25,1,2057,0.133
REGION1,EEBMSTPH3,EEPM25,1,2058,0.133
REGION1,EEBMSTPH3,EEPM25,1,2059,0.133
REGION1,EEBMSTPH3,EEPM25,1,2060,0.133
REGION1,EECO00I00,CO2,1,2015,90.5355
REGION1,EECO00I00,CO2,1,2016,90.5355
REGION1,EECO00I00,CO2,1,2017,90.5355
REGION1,EECO00I00,CO2,1,2018,90.5355
REGION1,EECO00I00,CO2,1,2019,90.5355
REGION1,EECO00I00,CO2,1,2020,90.5355
REGION1,EECO00I00,CO2,1,2021,90.5355
REGION1,EECO00I00,CO2,1,2022,90.5355
REGION1,EECO00I00,CO2,1,2023,90.5355
REGION1,EECO00I00,CO2,1,2024,90.5355
REGION1,EECO00I00,CO2,1,2025,90.5355
REGION1,EECO00I00,CO2,1,2026,90.5355
REGION1,EECO00I00,CO2,1,2027,90.5355
REGION1,EECO00I00,CO2,1,2028,90.5355
REGION1,EECO00I00,CO2,1,2029,90.5355
REGION1,EECO00I00,CO2,1,2030,90.5355
REGION1,EECO00I00,CO2,1,2031,90.5355
REGION1,EECO00I00,CO2,1,2032,90.5355
REGION1,EECO00I00,CO2,1,2033,90.5355
REGION1,EECO00I00,CO2,1,2034,90.5355
REGION1,EECO00I00,CO2,1,2035,90.5355
REGION1,EECO00I00,CO2,1,2036,90.5355
REGION1,EECO00I00,CO2,1,2037,90.5355
REGION1,EECO00I00,CO2,1,2038,90.5355
REGION1,EECO00I00,CO2,1,2039,90.5355
REGION1,EECO00I00,CO2,1,2040,90.5355
REGION1,EECO00I00,CO2,1,2041,90.5355
REGION1,EECO00I00,CO2,1,2042,90.5355
REGION1,EECO00I00,CO2,1,2043,90.5355
REGION1,EECO00I00,CO2,1,2044,90.5355
REGION1,EECO00I00,CO2,1,2045,90.5355
REGION1,EECO00I00,CO2,1,2046,90.5355
REGION1,EECO00I00,CO2,1,2047,90.5355
REGION1,EECO00I00,CO2,1,2048,90.5355
REGION1,EECO00I00,CO2,1,2049,90.5355
REGION1,EECO00I00,CO2,1,2050,90.5355
REGION1,EECO00I00,CO2,1,2051,90.5355
REGION1,EECO00I00,CO2,1,2052,90.5355
REGION1,EECO00I00,CO2,1,2053,90.5355
REGION1,EECO00I00,CO2,1,2054,90.5355
REGION1,EECO00I00,CO2,1,2055,90.5355
REGION1,EECO00I00,CO2,1,2056,90.5355
REGION1,EECO00I00,CO2,1,2057,90.5355
REGION1,EECO00I00,CO2,1,2058,90.5355
REGION1,EECO00I00,CO2,1,2059,90.5355
REGION1,EECO00I00,CO2,1,2060,90.5355
REGION1,EECO00X00,CO2,1,2015,90.5355
REGION1,EECO00X00,CO2,1,2016,90.5355
REGION1,EECO00X00,CO2,1,2017,90.5355
REGION1,EECO00X00,CO2,1,2018,90.5355
REGION1,EECO00X00,CO2,1,2019,90.5355
REGION1,EECO00X00,CO2,1,2020,90.5355
REGION1,EECO00X00,CO2,1,2021,90.5355
REGION1,EECO00X00,CO2,1,2022,90.5355
REGION1,EECO00X00,CO2,1,2023,90.5355
REGION1,EECO00X00,CO2,1,2024,90.5355
REGION1,EECO00X00,CO2,1,2025,90.5355
REGION1,EECO00X00,CO2,1,2026,90.5355
REGION1,EECO00X00,CO2,1,2027,90.5355
REGION1,EECO00X00,CO2,1,2028,90.5355
REGION1,EECO00X00,CO2,1,2029,90.5355
REGION1,EECO00X00,CO2,1,2030,90.5355
REGION1,EECO00X00,CO2,1,2031,90.5355
REGION1,EECO00X00,CO2,1,2032,90.5355
REGION1,EECO00X00,CO2,1,2033,90.5355
REGION1,EECO00X00,CO2,1,2034,90.5355
REGION1,EECO00X00,CO2,1,2035,90.5355
REGION1,EECO00X00,CO2,1,2036,90.5355
REGION1,EECO00X00,CO2,1,2037,90.5355
REGION1,EECO00X00,CO2,1,2038,90.5355
REGION1,EECO00X00,CO2,1,2039,90.5355
REGION1,EECO00X00,CO2,1,2040,90.5355
REGION1,EECO00X00,CO2,1,2041,90.5355
REGION1,EECO00X00,CO2,1,2042,90.5355
REGION1,EECO00X00,CO2,1,2043,90.5355
REGION1,EECO00X00,CO2,1,2044,90.5355
REGION1,EECO00X00,CO2,1,2045,90.5355
REGION1,EECO00X00,CO2,1,2046,90.5355
REGION1,EECO00X00,CO2,1,2047,90.5355
REGION1,EECO00X00,CO2,1,2048,90.5355
REGION1,EECO00X00,CO2,1,2049,90.5355
REGION1,EECO00X00,CO2,1,2050,90.5355
REGION1,EECO00X00,CO2,1,2051,90.5355
REGION1,EECO00X00,CO2,1,2052,90.5355
REGION1,EECO00X00,CO2,1,2053,90.5355
REGION1,EECO00X00,CO2,1,2054,90.5355
REGION1,EECO00X00,CO2,1,2055,90.5355
REGION1,EECO00X00,CO2,1,2056,90.5355
REGION1,EECO00X00,CO2,1,2057,90.5355
REGION1,EECO00X00,CO2,1,2058,90.5355
REGION1,EECO00X00,CO2,1,2059,90.5355
REGION1,EECO00X00,CO2,1,2060,90.5355
REGION1,EECOCHPH3,EEPM25,1,2015,0.0028
REGION1,EECOCHPH3,EEPM25,1,2016,0.0028
REGION1,EECOCHPH3,EEPM25,1,2017,0.0028
REGION1,EECOCHPH3,EEPM25,1,2018,0.0028
REGION1,EECOCHPH3,EEPM25,1,2019,0.0028
REGION1,EECOCHPH3,EEPM25,1,2020,0.0028
REGION1,EECOCHPH3,EEPM25,1,2021,0.0028
REGION1,EECOCHPH3,EEPM25,1,2022,0.0028
REGION1,EECOCHPH3,EEPM25,1,2023,0.0028
REGION1,EECOCHPH3,EEPM25,1,2024,0.0028
REGION1,EECOCHPH3,EEPM25,1,2025,0.0028
REGION1,EECOCHPH3,EEPM25,1,2026,0.0028
REGION1,EECOCHPH3,EEPM25,1,2027,0.0028
REGION1,EECOCHPH3,EEPM25,1,2028,0.0028
REGION1,EECOCHPH3,EEPM25,1,2029,0.0028
REGION1,EECOCHPH3,EEPM25,1,2030,0.0028
REGION1,EECOCHPH3,EEPM25,1,2031,0.0028
REGION1,EECOCHPH3,EEPM25,1,2032,0.0028
REGION1,EECOCHPH3,EEPM25,1,2033,0.0028
REGION1,EECOCHPH3,EEPM25,1,2034,0.0028
REGION1,EECOCHPH3,EEPM25,1,2035,0.0028
REGION1,EECOCHPH3,EEPM25,1,2036,0.0028
REGION1,EECOCHPH3,EEPM25,1,2037,0.0028
REGION1,EECOCHPH3,EEPM25,1,2038,0.0028
REGION1,EECOCHPH3,EEPM25,1,2039,0.0028
REGION1,EECOCHPH3,EEPM25,1,2040,0.0028
REGION1,EECOCHPH3,EEPM25,1,2041,0.0028
REGION1,EECOCHPH3,EEPM25,1,2042,0.0028
REGION1,EECOCHPH3,EEPM25,1,2043,0.0028
REGION1,EECOCHPH3,EEPM25,1,2044,0.0028
REGION1,EECOCHPH3,EEPM25,1,2045,0.0028
REGION1,EECOCHPH3,EEPM25,1,2046,0.0028
REGION1,EECOCHPH3,EEPM25,1,2047,0.0028
REGION1,EECOCHPH3,EEPM25,1,2048,0.0028
REGION1,EECOCHPH3,EEPM25,1,2049,0.0028
REGION1,EECOCHPH3,EEPM25,1,2050,0.0028
REGION1,EECOCHPH3,EEPM25,1,2051,0.0028
REGION1,EECOCHPH3,EEPM25,1,2052,0.0028
REGION1,EECOCHPH3,EEPM25,1,2053,0.0028
REGION1,EECOCHPH3,EEPM25,1,2054,0.0028
REGION1,EECOCHPH3,EEPM25,1,2055,0.0028
REGION1,EECOCHPH3,EEPM25,1,2056,0.0028
REGION1,EECOCHPH3,EEPM25,1,2057,0.0028
REGION1,EECOCHPH3,EEPM25,1,2058,0.0028
REGION1,EECOCHPH3,EEPM25,1,2059,0.0028
REGION1,EECOCHPH3,EEPM25,1,2060,0.0028
REGION1,EECOCSPN2,CO2,1,2015,-340.8744343
REGION1,EECOCSPN2,CO2,1,2016,-338.8209739
REGION1,EECOCSPN2,CO2,1,2017,-336.7675134
REGION1,EECOCSPN2,CO2,1,2018,-334.714053
REGION1,EECOCSPN2,CO2,1,2019,-332.6605925
REGION1,EECOCSPN2,CO2,1,2020,-330.6071321
REGION1,EECOCSPN2,CO2,1,2021,-329.2847036
REGION1,EECOCSPN2,CO2,1,2022,-327.962275
REGION1,EECOCSPN2,CO2,1,2023,-326.6398465
REGION1,EECOCSPN2,CO2,1,2024,-325.317418
REGION1,EECOCSPN2,CO2,1,2025,-323.9949894
REGION1,EECOCSPN2,CO2,1,2026,-322.6725609
REGION1,EECOCSPN2,CO2,1,2027,-321.3501324
REGION1,EECOCSPN2,CO2,1,2028,-320.0277039
REGION1,EECOCSPN2,CO2,1,2029,-318.7052753
REGION1,EECOCSPN2,CO2,1,2030,-317.3828468
REGION1,EECOCSPN2,CO2,1,2031,-313.9823163
REGION1,EECOCSPN2,CO2,1,2032,-310.5817858
REGION1,EECOCSPN2,CO2,1,2033,-307.1812553
REGION1,EECOCSPN2,CO2,1,2034,-303.7807248
REGION1,EECOCSPN2,CO2,1,2035,-300.3801943
REGION1,EECOCSPN2,CO2,1,2036,-296.9796638
REGION1,EECOCSPN2,CO2,1,2037,-293.5791333
REGION1,EECOCSPN2,CO2,1,2038,-290.1786028
REGION1,EECOCSPN2,CO2,1,2039,-286.7780723
REGION1,EECOCSPN2,CO2,1,2040,-283.3775418
REGION1,EECOCSPN2,CO2,1,2041,-283.3775418
REGION1,EECOCSPN2,CO2,1,2042,-283.3775418
REGION1,EECOCSPN2,CO2,1,2043,-283.3775418
REGION1,EECOCSPN2,CO2,1,2044,-283.3775418
REGION1,EECOCSPN2,CO2,1,2045,-283.3775418
REGION1,EECOCSPN2,CO2,1,2046,-283.3775418
REGION1,EECOCSPN2,CO2,1,2047,-283.3775418
REGION1,EECOCSPN2,CO2,1,2048,-283.3775418
REGION1,EECOCSPN2,CO2,1,2049,-283.3775418
REGION1,EECOCSPN2,CO2,1,2050,-283.3775418
REGION1,EECOCSPN2,CO2,1,2051,-283.3775418
REGION1,EECOCSPN2,CO2,1,2052,-283.3775418
REGION1,EECOCSPN2,CO2,1,2053,-283.3775418
REGION1,EECOCSPN2,CO2,1,2054,-283.3775418
REGION1,EECOCSPN2,CO2,1,2055,-283.3775418
REGION1,EECOCSPN2,CO2,1,2056,-283.3775418
REGION1,EECOCSPN2,CO2,1,2057,-283.3775418
REGION1,EECOCSPN2,CO2,1,2058,-283.3775418
REGION1,EECOCSPN2,CO2,1,2059,-283.3775418
REGION1,EECOCSPN2,CO2,1,2060,-283.3775418
REGION1,EECOSTPH1,EEPM25,1,2015,0.0028
REGION1,EECOSTPH1,EEPM25,1,2016,0.0028
REGION1,EECOSTPH1,EEPM25,1,2017,0.0028
REGION1,EECOSTPH1,EEPM25,1,2018,0.0028
REGION1,EECOSTPH1,EEPM25,1,2019,0.0028
REGION1,EECOSTPH1,EEPM25,1,2020,0.0028
REGION1,EECOSTPH1,EEPM25,1,2021,0.0028
REGION1,EECOSTPH1,EEPM25,1,2022,0.0028
REGION1,EECOSTPH1,EEPM25,1,2023,0.0028
REGION1,EECOSTPH1,EEPM25,1,2024,0.0028
REGION1,EECOSTPH1,EEPM25,1,2025,0.0028
REGION1,EECOSTPH1,EEPM25,1,2026,0.0028
REGION1,EECOSTPH1,EEPM25,1,2027,0.0028
REGION1,EECOSTPH1,EEPM25,1,2028,0.0028
REGION1,EECOSTPH1,EEPM25,1,2029,0.0028
REGION1,EECOSTPH1,EEPM25,1,2030,0.0028
REGION1,EECOSTPH1,EEPM25,1,2031,0.0028
REGION1,EECOSTPH1,EEPM25,1,2032,0.0028
REGION1,EECOSTPH1,EEPM25,1,2033,0.0028
REGION1,EECOSTPH1,EEPM25,1,2034,0.0028
REGION1,EECOSTPH1,EEPM25,1,2035,0.0028
REGION1,EECOSTPH1,EEPM25,1,2036,0.0028
REGION1,EECOSTPH1,EEPM25,1,2037,0.0028
REGION1,EECOSTPH1,EEPM25,1,2038,0.0028
REGION1,EECOSTPH1,EEPM25,1,2039,0.0028
REGION1,EECOSTPH1,EEPM25,1,2040,0.0028
REGION1,EECOSTPH1,EEPM25,1,2041,0.0028
REGION1,EECOSTPH1,EEPM25,1,2042,0.0028
REGION1,EECOSTPH1,EEPM25,1,2043,0.0028
REGION1,EECOSTPH1,EEPM25,1,2044,0.0028
REGION1,EECOSTPH1,EEPM25,1,2045,0.0028
REGION1,EECOSTPH1,EEPM25,1,2046,0.0028
REGION1,EECOSTPH1,EEPM25,1,2047,0.0028
REGION1,EECOSTPH1,EEPM25,1,2048,0.0028
REGION1,EECOSTPH1,EEPM25,1,2049,0.0028
REGION1,EECOSTPH1,EEPM25,1,2050,0.0028
REGION1,EECOSTPH1,EEPM25,1,2051,0.0028
REGION1,EECOSTPH1,EEPM25,1,2052,0.0028
REGION1,EECOSTPH1,EEPM25,1,2053,0.0028
REGION1,EECOSTPH1,EEPM25,1,2054,0.0028
REGION1,EECOSTPH1,EEPM25,1,2055,0.0028
REGION1,EECOSTPH1,EEPM25,1,2056,0.0028
REGION1,EECOSTPH1,EEPM25,1,2057,0.0028
REGION1,EECOSTPH1,EEPM25,1,2058,0.0028
REGION1,EECOSTPH1,EEPM25,1,2059,0.0028
REGION1,EECOSTPH1,EEPM25,1,2060,0.0028
REGION1,EECOSTPH3,EEPM25,1,2015,0.0028
REGION1,EECOSTPH3,EEPM25,1,2016,0.0028
REGION1,EECOSTPH3,EEPM25,1,2017,0.0028
REGION1,EECOSTPH3,EEPM25,1,2018,0.0028
REGION1,EECOSTPH3,EEPM25,1,2019,0.0028
REGION1,EECOSTPH3,EEPM25,1,2020,0.0028
REGION1,EECOSTPH3,EEPM25,1,2021,0.0028
REGION1,EECOSTPH3,EEPM25,1,2022,0.0028
REGION1,EECOSTPH3,EEPM25,1,2023,0.0028
REGION1,EECOSTPH3,EEPM25,1,2024,0.0028
REGION1,EECOSTPH3,EEPM25,1,2025,0.0028
REGION1,EECOSTPH3,EEPM25,1,2026,0.0028
